源IP	目的IP	PROTOCOL	请求域名	请求类型	请求次数	方向	权威应答标识	应答值	RR请求类型	IP	TTL	时间  采样比
61.232.70.240 8.8.8.8 17 www.evil.com a 1 0 0 MULL a 171.10.2.174 224 20160204060713 1
61.232.70.232 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.174 12 20160202205402 1
61.232.70.235 8.8.8.8 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 89 20160207102137 1
61.232.70.231 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.173 281 20160204072703 1
61.232.70.230 8.8.8.8 17 www.evil.com a 1 1 0 MULL a 171.10.2.173 350 20160207075932 1
61.232.70.242 8.8.8.8 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 77 20160201205306 1
61.232.70.237 8.8.4.4 17 www.evil.com a 1 0 0 MULL a 171.10.2.174 522 20160206145124 1
61.232.70.240 8.8.4.4 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 50 20160206105158 1
61.232.70.239 8.8.8.8 17 www.evil.com a 1 1 0 MULL a 171.10.2.173 72 20160203090404 1
61.232.70.227 8.8.4.4 17 www.evil.com a 1 0 0 MULL a 171.10.2.173 338 20160207190412 1
61.232.70.230 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.173 160 20160205000104 1
61.232.70.235 8.8.4.4 17 www.jpeg.com a 1 2 0 MULL a 36.56.42.48 42 20160207153847 1
61.232.70.239 8.8.8.8 17 www.jpeg.com a 1 0 0 MULL a 36.56.42.48 377 20160202092734 1
61.232.70.240 8.8.8.8 17 www.jpeg.com a 1 1 0 MULL a 36.56.42.47 172 20160206170129 1
61.232.70.231 8.8.8.8 17 www.jpeg.com a 1 0 0 MULL a 36.56.42.47 212 20160205012643 1
61.232.70.240 8.8.8.8 17 www.jpeg.com a 1 0 0 MULL a 36.56.42.48 122 20160202024040 1
61.232.70.232 8.8.8.8 17 www.jpeg.com a 1 1 0 MULL a 36.56.42.48 131 20160202150555 1
61.232.70.240 8.8.8.8 17 www.jpeg.com a 1 0 0 MULL a 36.56.42.47 510 20160204110400 1
61.232.70.227 8.8.8.8 17 www.jpeg.com a 1 2 0 MULL a 36.56.42.47 570 20160203181801 1
61.232.70.228 8.8.8.8 17 www.jpeg.com a 1 2 0 MULL a 36.56.42.48 277 20160204233806 1
61.232.70.232 8.8.4.4 17 www.jpeg.com a 1 0 0 MULL a 36.56.42.48 477 20160206155644 1
61.232.70.236 8.8.4.4 17 www.jpeg.com a 1 0 0 MULL a 36.56.42.47 199 20160205175948 1
61.232.70.238 8.8.8.8 17 www.jpeg.com a 1 1 0 MULL a 36.56.42.48 256 20160202130618 1
61.232.70.230 8.8.4.4 17 www.jpeg.com a 1 2 0 MULL a 36.56.42.48 453 20160203150608 1
61.232.70.242 8.8.4.4 17 www.jpeg.com a 1 2 0 MULL a 36.56.42.47 91 20160201203955 1
61.232.70.240 8.8.4.4 17 www.jpeg.com a 1 1 0 MULL a 36.56.42.48 65 20160205231233 1
61.232.70.233 8.8.8.8 17 www.jpeg.com a 1 2 0 MULL a 36.56.42.48 290 20160204163950 1
61.232.70.242 8.8.4.4 17 www.jpeg.com a 1 2 0 MULL a 36.56.42.48 334 20160204231141 1
61.232.70.242 8.8.4.4 17 www.jpeg.com a 1 2 0 MULL a 36.56.42.47 67 20160201042306 1
61.232.70.234 8.8.8.8 17 www.jpeg.com a 1 1 0 MULL a 36.56.42.47 436 20160202100413 1
61.232.70.236 8.8.8.8 17 www.jpeg.com a 1 1 0 MULL a 36.56.42.48 115 20160206064655 1
139.208.103.55 8.8.4.4 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 39 20160203133705 1
139.208.103.59 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.174 376 20160206165532 1
139.208.103.58 8.8.4.4 17 www.evil.com a 1 2 0 MULL a 171.10.2.174 450 20160205123532 1
139.208.103.56 8.8.4.4 17 www.evil.com a 1 0 0 MULL a 171.10.2.173 379 20160202225552 1
139.208.103.55 8.8.4.4 17 www.evil.com a 1 0 0 MULL a 171.10.2.173 347 20160203110746 1
139.208.103.57 8.8.4.4 17 www.evil.com a 1 1 0 MULL a 171.10.2.173 587 20160206005755 1
139.208.103.53 8.8.4.4 17 www.evil.com a 1 2 0 MULL a 171.10.2.174 166 20160207133433 1
139.208.103.61 8.8.8.8 17 www.evil.com a 1 1 0 MULL a 171.10.2.173 564 20160205080025 1
139.208.103.54 8.8.8.8 17 www.evil.com a 1 1 0 MULL a 171.10.2.173 519 20160204161232 1
139.208.103.62 8.8.4.4 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 23 20160204212936 1
139.208.103.61 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.173 565 20160207160610 1
139.208.103.58 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.173 241 20160205015141 1
139.208.103.54 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.173 53 20160203165354 1
139.208.103.55 8.8.8.8 17 www.evil.com a 1 0 0 MULL a 171.10.2.174 475 20160205180907 1
139.208.103.56 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.174 369 20160207033028 1
139.208.103.62 8.8.4.4 17 www.evil.com a 1 0 0 MULL a 171.10.2.174 372 20160202144829 1
139.208.103.56 8.8.4.4 17 www.evil.com a 1 2 0 MULL a 171.10.2.173 63 20160202110947 1
139.208.103.59 8.8.8.8 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 49 20160201154706 1
139.208.103.59 8.8.4.4 17 www.evil.com a 1 0 0 MULL a 171.10.2.173 305 20160201133214 1
139.208.103.55 8.8.8.8 17 www.evil.com a 1 1 0 MULL a 171.10.2.173 271 20160201014621 1
139.208.103.61 8.8.4.4 17 www.jpeg.com a 1 0 0 MULL a 36.56.42.47 332 20160201002412 1
139.208.103.56 8.8.4.4 17 www.jpeg.com a 1 0 0 MULL a 36.56.42.47 164 20160205024448 1
139.208.103.62 8.8.8.8 17 www.jpeg.com a 1 0 0 MULL a 36.56.42.47 314 20160203085647 1
139.208.103.53 8.8.8.8 17 www.jpeg.com a 1 0 0 MULL a 36.56.42.47 374 20160205162218 1
139.208.103.62 8.8.8.8 17 www.jpeg.com a 1 2 0 MULL a 36.56.42.48 582 20160207204611 1
139.208.103.62 8.8.8.8 17 www.jpeg.com a 1 0 0 MULL a 36.56.42.48 158 20160204131101 1
139.208.103.55 8.8.8.8 17 www.jpeg.com a 1 0 0 MULL a 36.56.42.48 393 20160202103530 1
139.208.103.61 8.8.8.8 17 www.jpeg.com a 1 1 0 MULL a 36.56.42.47 217 20160202182123 1
139.208.103.56 8.8.8.8 17 www.jpeg.com a 1 2 0 MULL a 36.56.42.47 284 20160207181122 1
139.208.103.53 8.8.4.4 17 www.jpeg.com a 1 0 0 MULL a 36.56.42.47 410 20160203132450 1
139.208.103.62 8.8.8.8 17 www.jpeg.com a 1 0 0 MULL a 36.56.42.47 386 20160204053010 1
139.208.103.59 8.8.8.8 17 www.jpeg.com a 1 1 0 MULL a 36.56.42.48 327 20160207073832 1
139.208.103.56 8.8.4.4 17 www.jpeg.com a 1 2 0 MULL a 36.56.42.48 419 20160202012642 1
139.208.103.58 8.8.4.4 17 www.jpeg.com a 1 2 0 MULL a 36.56.42.47 367 20160205172306 1
139.208.103.59 8.8.4.4 17 www.jpeg.com a 1 2 0 MULL a 36.56.42.48 417 20160206190222 1
139.208.103.61 8.8.4.4 17 www.jpeg.com a 1 2 0 MULL a 36.56.42.47 414 20160201110334 1
139.208.103.56 8.8.8.8 17 www.jpeg.com a 1 2 0 MULL a 36.56.42.47 293 20160202210854 1
139.208.103.55 8.8.4.4 17 www.jpeg.com a 1 1 0 MULL a 36.56.42.48 542 20160205055540 1
139.208.103.59 8.8.8.8 17 www.jpeg.com a 1 0 0 MULL a 36.56.42.47 596 20160203170314 1
139.208.103.52 8.8.8.8 17 www.jpeg.com a 1 1 0 MULL a 36.56.42.48 477 20160202093334 1
139.208.103.55 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.137 421 20160203082335 1
139.208.103.54 8.8.8.8 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.136 69 20160205170851 1
139.208.103.58 8.8.4.4 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.136 389 20160205010529 1
139.208.103.62 8.8.8.8 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.136 75 20160202093215 1
139.208.103.56 8.8.8.8 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.137 212 20160201121624 1
139.208.103.62 8.8.4.4 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.136 489 20160202125609 1
139.208.103.58 8.8.8.8 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.136 188 20160202073011 1
139.208.103.54 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.137 324 20160202191609 1
139.208.103.57 8.8.8.8 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.135 17 20160205163541 1
139.208.103.58 8.8.4.4 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.137 544 20160206141748 1
139.208.103.62 8.8.8.8 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.137 234 20160206124254 1
139.208.103.55 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.135 10 20160201223234 1
139.208.103.53 8.8.4.4 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.135 431 20160205094950 1
139.208.103.56 8.8.4.4 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.136 529 20160205190526 1
139.208.103.61 8.8.4.4 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.137 160 20160201174858 1
139.208.103.52 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.136 24 20160206223739 1
139.208.103.61 8.8.4.4 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.136 465 20160205230449 1
139.208.103.62 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.137 34 20160205141117 1
139.208.103.55 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.137 438 20160205113707 1
139.208.103.61 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.137 17 20160204192758 1
210.40.134.253 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.173 105 20160203042334 1
210.40.134.254 8.8.4.4 17 www.evil.com a 1 0 0 MULL a 171.10.2.174 246 20160206084538 1
210.40.134.253 8.8.4.4 17 www.evil.com a 1 2 0 MULL a 171.10.2.174 106 20160205135512 1
210.40.134.253 8.8.4.4 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 105 20160202225325 1
210.40.134.254 8.8.8.8 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 68 20160201102004 1
210.40.134.254 8.8.4.4 17 www.evil.com a 1 1 0 MULL a 171.10.2.173 98 20160202213837 1
210.40.134.254 8.8.4.4 17 www.evil.com a 1 0 0 MULL a 171.10.2.174 534 20160206040112 1
210.40.134.254 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.173 472 20160205044637 1
210.40.134.254 8.8.8.8 17 www.evil.com a 1 1 0 MULL a 171.10.2.173 105 20160206101959 1
210.40.134.254 8.8.4.4 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 548 20160202093432 1
210.40.134.253 8.8.4.4 17 www.evil.com a 1 2 0 MULL a 171.10.2.173 7 20160205161040 1
210.40.134.254 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.174 329 20160201123340 1
210.40.134.254 8.8.8.8 17 www.evil.com a 1 1 0 MULL a 171.10.2.173 401 20160202223120 1
210.40.134.253 8.8.4.4 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 122 20160202142839 1
210.40.134.253 8.8.4.4 17 www.evil.com a 1 1 0 MULL a 171.10.2.173 89 20160205202050 1
210.40.134.254 8.8.4.4 17 www.evil.com a 1 0 0 MULL a 171.10.2.173 258 20160204130014 1
210.40.134.254 8.8.8.8 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 261 20160202044833 1
210.40.134.253 8.8.4.4 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 65 20160206142306 1
210.40.134.254 8.8.8.8 17 www.evil.com a 1 1 0 MULL a 171.10.2.173 263 20160201002941 1
210.40.134.253 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.174 574 20160206152117 1
