 出入口	事件名	源IP	目的IP	源端口	目的端口	时间	设备名称	返回值 
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421031705	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 73\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cweb%5C%5Csuite%5C%5Cimages%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421031715	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 62\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cweb%5C%5Cskills%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421031718	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 74\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cweb%5C%5Cskills%5C%5Cimages%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421031737	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 50\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cres%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421031739	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 62\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cres%5C%5Cskills%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421031743	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 75\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cres%5C%5Cskills%5C%5Cdi-temp%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421031815	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 86\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cres%5C%5Cskills%5C%5Cdi-temp%5C%5C27000%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421031821	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 95\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cres%5C%5Cskills%5C%5Cdi-temp%5C%5C27000%5C%5Cswf%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421031906	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 86\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cres%5C%5Cskills%5C%5Cdi-temp%5C%5C27133%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421031909	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 98\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cres%5C%5Cskills%5C%5Cdi-temp%5C%5C27133%5C%5Cimages%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421032050	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 85\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cres%5C%5Cskills%5C%5Cpersonal-resource%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421032059	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 93\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cres%5C%5Cskills%5C%5Cpersonal-resource%5C%5C19%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421032107	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 103\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cres%5C%5Cskills%5C%5Cpersonal-resource%5C%5C19%5C%5Ctest%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421032148	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 199\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=I&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cres%5C%5Cskills%5C%5Cpersonal-resource%5C%5C19%5C%5Ctest%5C%5C1.gif&z2=E%3A%5C%5Cdms%5C%5Cres%5C%5Cskills%5C%5Cpersonal-resource%5C%5C19%5C%5Ctest%5C%5C1a.gif
未知, id=0	00002787	172.97.184.205	118.114.242.106	60566	1080	20160421032401	广州电信同和_53_114_111	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 103\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cres%5C%5Cskills%5C%5Cpersonal-resource%5C%5C19%5C%5Ctest%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60566	1080	20160421032411	广州电信同和_53_114_111	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 103\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cres%5C%5Cskills%5C%5Cpersonal-resource%5C%5C19%5C%5Ctest%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60566	1080	20160421032457	广州电信同和_53_114_111	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 108\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=E&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cres%5C%5Cskills%5C%5Cpersonal-resource%5C%5C19%5C%5Ctest%5C%5C1.gif
未知, id=0	00002787	172.97.184.205	118.114.242.106	60566	1080	20160421032502	广州电信同和_53_114_111	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 199\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=I&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cres%5C%5Cskills%5C%5Cpersonal-resource%5C%5C19%5C%5Ctest%5C%5C1a.gif&z2=E%3A%5C%5Cdms%5C%5Cres%5C%5Cskills%5C%5Cpersonal-resource%5C%5C19%5C%5Ctest%5C%5C1.gif
未知, id=0	00002787	172.97.184.205	118.114.242.106	60566	1080	20160421032513	广州电信同和_53_114_111	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 60\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=C&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cweb%5C%5Cindex.html
未知, id=0	00002787	172.97.184.205	118.114.242.106	60566	1080	20160421032524	广州电信同和_53_114_111	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 60\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cweb%5C%5Croot%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60566	1080	20160421032528	广州电信同和_53_114_111	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 70\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=C&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cweb%5C%5Croot%5C%5Cindex.html
未知, id=0	00002787	172.97.184.205	118.114.242.106	60568	1080	20160421032710	广州电信同和_53_114_129	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 71\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=C&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cweb%5C%5Cskills%5C%5Clogin.jsp
未知, id=0	00002787	172.97.184.205	118.114.242.106	60568	1080	20160421032804	广州电信同和_53_114_129	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 75\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cweb%5C%5Cskills%5C%5CWEB-INF%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60568	1080	20160421032810	广州电信同和_53_114_129	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 88\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cweb%5C%5Cskills%5C%5CWEB-INF%5C%5Cclasses%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60568	1080	20160421032811	广州电信同和_53_114_129	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 88\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cweb%5C%5Cskills%5C%5CWEB-INF%5C%5Cclasses%5C%5C
